Date,Action,Price,Capital
2023-10-16 00:00:00+05:30,Buy,19731.75,100000.0
2023-10-23 00:00:00+05:30,Sell,19281.75,97719.41160819492
2023-11-09 00:00:00+05:30,Buy,19395.30078125,97719.41160819492
2024-01-23 00:00:00+05:30,Sell,21238.80078125,107007.52409128977
2024-02-02 00:00:00+05:30,Buy,21853.80078125,107007.52409128977
2024-03-15 00:00:00+05:30,Sell,22023.349609375,107837.72294282328
2024-04-01 00:00:00+05:30,Buy,22462.0,107837.72294282328
2024-04-19 00:00:00+05:30,Sell,22147.0,106325.44074502302
2024-04-26 00:00:00+05:30,Buy,22419.94921875,106325.44074502302
2024-05-09 00:00:00+05:30,Sell,21957.5,104132.29942583288
2024-05-22 00:00:00+05:30,Buy,22597.80078125,104132.29942583288
2024-08-06 00:00:00+05:30,Sell,23992.55078125,110559.40824186815
2024-08-21 00:00:00+05:30,Buy,24770.19921875,110559.40824186815
2024-10-07 00:00:00+05:30,Sell,24795.75,110673.45170313265
2024-11-28 00:00:00+05:30,Buy,23914.150390625,110673.45170313265
2024-12-20 00:00:00+05:30,Sell,23587.5,109161.7305823682
2025-02-01 00:00:00+05:30,Buy,23482.150390625,109161.7305823682
2025-02-13 00:00:00+05:30,Sell,23031.400390625,107066.32410376704
2025-03-19 00:00:00+05:30,Buy,22907.599609375,107066.32410376704
2025-04-07 00:00:00+05:30,Sell,22161.599609375,103579.64373815061
2025-04-21 00:00:00+05:30,Buy,24125.55078125,103579.64373815061
2025-06-04 00:00:00+05:30,Sell,24620.19921875,105703.34691891706
2025-06-10 00:00:00+05:30,Buy,25104.25,105703.34691891706
2025-06-19 00:00:00+05:30,Sell,24793.25,104393.85785265204
2025-06-20 00:00:00+05:30,Buy,25112.400390625,104393.85785265204
2025-07-15 00:00:00+05:30,Sell,25195.80078125,104740.55862152846
2025-08-20 00:00:00+05:30,Buy,25050.55078125,104740.55862152846
2025-08-29 00:00:00+05:30,Sell,24426.849609375,102132.75930703252
