Date,Open,High,Low,Close
2023-09-05 00:00:00+05:30,19564.650390625,19587.05078125,19525.75,19574.900390625
2023-09-06 00:00:00+05:30,19581.19921875,19636.44921875,19491.5,19611.05078125
2023-09-07 00:00:00+05:30,19598.650390625,19737.0,19550.05078125,19727.05078125
2023-09-08 00:00:00+05:30,19774.80078125,19867.150390625,19727.05078125,19819.94921875
2023-09-11 00:00:00+05:30,19890.0,20008.150390625,19865.349609375,19996.349609375
2023-09-12 00:00:00+05:30,20110.150390625,20110.349609375,19914.650390625,19993.19921875
2023-09-13 00:00:00+05:30,19989.5,20096.900390625,19944.099609375,20070.0
2023-09-14 00:00:00+05:30,20127.94921875,20167.650390625,20043.44921875,20103.099609375
2023-09-15 00:00:00+05:30,20156.44921875,20222.44921875,20129.69921875,20192.349609375
2023-09-18 00:00:00+05:30,20155.94921875,20195.349609375,20115.69921875,20133.30078125
2023-09-20 00:00:00+05:30,19980.75,20050.650390625,19878.849609375,19901.400390625
2023-09-21 00:00:00+05:30,19840.55078125,19848.75,19709.94921875,19742.349609375
2023-09-22 00:00:00+05:30,19744.849609375,19798.650390625,19657.5,19674.25
2023-09-25 00:00:00+05:30,19678.19921875,19734.150390625,19601.55078125,19674.55078125
2023-09-26 00:00:00+05:30,19682.80078125,19699.349609375,19637.44921875,19664.69921875
2023-09-27 00:00:00+05:30,19637.05078125,19730.69921875,19554.0,19716.44921875
2023-09-28 00:00:00+05:30,19761.80078125,19766.650390625,19492.099609375,19523.55078125
2023-09-29 00:00:00+05:30,19581.19921875,19726.25,19551.05078125,19638.30078125
2023-10-03 00:00:00+05:30,19622.400390625,19623.19921875,19479.650390625,19528.75
2023-10-04 00:00:00+05:30,19446.30078125,19457.80078125,19333.599609375,19436.099609375
2023-10-05 00:00:00+05:30,19521.849609375,19576.94921875,19487.30078125,19545.75
2023-10-06 00:00:00+05:30,19621.19921875,19675.75,19589.400390625,19653.5
2023-10-09 00:00:00+05:30,19539.44921875,19588.94921875,19480.5,19512.349609375
2023-10-10 00:00:00+05:30,19565.599609375,19717.80078125,19565.44921875,19689.849609375
2023-10-11 00:00:00+05:30,19767.0,19839.19921875,19756.94921875,19811.349609375
2023-10-12 00:00:00+05:30,19822.69921875,19843.30078125,19772.650390625,19794.0
2023-10-13 00:00:00+05:30,19654.55078125,19805.400390625,19635.30078125,19751.05078125
2023-10-16 00:00:00+05:30,19737.25,19781.30078125,19691.849609375,19731.75
2023-10-17 00:00:00+05:30,19843.19921875,19849.75,19775.650390625,19811.5
2023-10-18 00:00:00+05:30,19820.44921875,19840.94921875,19659.94921875,19671.099609375
2023-10-19 00:00:00+05:30,19545.19921875,19681.80078125,19512.349609375,19624.69921875
2023-10-20 00:00:00+05:30,19542.150390625,19593.80078125,19518.69921875,19542.650390625
2023-10-23 00:00:00+05:30,19521.599609375,19556.849609375,19257.849609375,19281.75
2023-10-25 00:00:00+05:30,19286.44921875,19347.30078125,19074.150390625,19122.150390625
2023-10-26 00:00:00+05:30,19027.25,19041.69921875,18837.849609375,18857.25
2023-10-27 00:00:00+05:30,18928.75,19076.150390625,18926.650390625,19047.25
2023-10-30 00:00:00+05:30,19053.400390625,19158.5,18940.0,19140.900390625
2023-10-31 00:00:00+05:30,19232.94921875,19233.69921875,19056.44921875,19079.599609375
2023-11-01 00:00:00+05:30,19064.05078125,19096.05078125,18973.69921875,18989.150390625
2023-11-02 00:00:00+05:30,19120.0,19175.25,19064.150390625,19133.25
2023-11-03 00:00:00+05:30,19241.0,19276.25,19210.900390625,19230.599609375
2023-11-06 00:00:00+05:30,19345.849609375,19423.0,19309.69921875,19411.75
2023-11-07 00:00:00+05:30,19404.05078125,19423.5,19329.099609375,19406.69921875
2023-11-08 00:00:00+05:30,19449.599609375,19464.400390625,19401.5,19443.5
2023-11-09 00:00:00+05:30,19457.400390625,19463.900390625,19378.349609375,19395.30078125
2023-11-10 00:00:00+05:30,19351.849609375,19451.30078125,19329.44921875,19425.349609375
2023-11-13 00:00:00+05:30,19486.75,19494.400390625,19414.75,19443.55078125
2023-11-15 00:00:00+05:30,19651.400390625,19693.19921875,19579.650390625,19675.44921875
2023-11-16 00:00:00+05:30,19674.69921875,19875.25,19627.0,19765.19921875
2023-11-17 00:00:00+05:30,19674.75,19806.0,19667.44921875,19731.80078125
2023-11-20 00:00:00+05:30,19731.150390625,19756.44921875,19670.5,19694.0
2023-11-21 00:00:00+05:30,19770.900390625,19829.099609375,19754.05078125,19783.400390625
2023-11-22 00:00:00+05:30,19784.0,19825.55078125,19703.849609375,19811.849609375
2023-11-23 00:00:00+05:30,19828.44921875,19875.150390625,19786.75,19802.0
2023-11-24 00:00:00+05:30,19809.599609375,19832.849609375,19768.849609375,19794.69921875
2023-11-28 00:00:00+05:30,19844.650390625,19916.849609375,19800.0,19889.69921875
2023-11-29 00:00:00+05:30,19976.55078125,20104.650390625,19956.30078125,20096.599609375
2023-11-30 00:00:00+05:30,20108.5,20158.69921875,20015.849609375,20133.150390625
2023-12-01 00:00:00+05:30,20194.099609375,20291.55078125,20183.69921875,20267.900390625
2023-12-04 00:00:00+05:30,20601.94921875,20702.650390625,20507.75,20686.80078125
2023-12-05 00:00:00+05:30,20808.900390625,20864.05078125,20711.150390625,20855.099609375
2023-12-06 00:00:00+05:30,20950.75,20961.94921875,20852.150390625,20937.69921875
2023-12-07 00:00:00+05:30,20932.400390625,20941.25,20850.80078125,20901.150390625
2023-12-08 00:00:00+05:30,20934.099609375,21006.099609375,20862.69921875,20969.400390625
2023-12-11 00:00:00+05:30,20965.30078125,21026.099609375,20923.69921875,20997.099609375
2023-12-12 00:00:00+05:30,21018.55078125,21037.900390625,20867.150390625,20906.400390625
2023-12-13 00:00:00+05:30,20929.75,20950.0,20769.5,20926.349609375
2023-12-14 00:00:00+05:30,21110.400390625,21210.900390625,21074.44921875,21182.69921875
2023-12-15 00:00:00+05:30,21287.44921875,21492.30078125,21235.30078125,21456.650390625
2023-12-18 00:00:00+05:30,21434.80078125,21482.80078125,21365.349609375,21418.650390625
2023-12-19 00:00:00+05:30,21477.650390625,21505.05078125,21337.75,21453.099609375
